UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
ShC-NH01,"Shea-Porter, Carol",RepSheaPorter,3/1/2010,2010,,
ShM-NJ11,"Sherrill, Mikie",RepSherrill,,1900,,
ShJ-IL15,"Shimkus, John",RepShimkus,7/1/2008,2008,,
ThS-MI13,"Thanedar, Shri",RepShriThanedar,,1900,,
SlE-MI07,"Slotkin, Elissa",RepSlotkin,,1900,,
SmL-PA11,"Smucker, Lloyd",RepSmucker,,1900,,
SpA-VA07,"Spanberger, Abigail Davis",RepSpanberger,12/1/2018,2018,,
SpV-IN05,"Spartz, Victoria",RepSpartz,,1900,,
StM-CA45,"Steel, Michelle",RepSteel,,1900,,
LyS-MA08,"Lynch, Stephen F.",RepStephenLynch,6/1/2011,2011,,
MuS-FL07,"Murphy, Stephanie N.",RepStephMurphy,11/1/2016,2016,,
StM-WA10,"Strickland, Marilyn",RepStricklandWA,,1900,,
StM-IN03,"Stutzman, Marlin A.",RepStutzman,11/1/2010,2010,,
LeS-PA12,"Lee, Summer L.",RepSummerLee,5/1/2018,2018,,
WiS-PA07,"Wild, Susan",RepSusanWild,,1900,,
LeS-NV03,"Lee, Susie",RepSusieLee,,1900,,
SwE-CA14,"Swalwell, Eric",RepSwalwell,,1900,,
GaS-TX29,"Garcia, Sylvia R.",RepSylviaGarcia,1/1/2019,2019,,
DeT-FL22,"Deutch, Theodore E.",RepTedDeutch,4/10/2010,2010,,
LiT-CA36,"Lieu, Ted",RepTedLieu,,1900,,
YoT-FL03,"Yoho, Ted S.",RepTedYoho,1/1/2013,2013,,
TeC-NY24,"Tenney, Claudia",RepTenney,,1900,,
LeT-NM03,"Leger Fernandez, Teresa",RepTeresaLF,,1900,,
SeT-AL07,"Sewell, Terri A.",RepTerriSewell,9/1/2011,2011,,
MaT-KY04,"Massie, Thomas",RepThomasMassie,,1900,,
ThM-CA04,"Thompson, Mike",RepThompson,,1900,,
TiJ-MA06,"Tierney, John F.",RepTierney,10/1/2011,2011,,
TiT-WI07,"Tiffany, Thomas P.",RepTiffany,,1900,,
BuT-TN02,"Burchett, Tim",RepTimBurchett,,1900,,
JoT-IL15,"Johnson, Timothy V.",RepTimJohnson,2/1/2011,2011,,
TiW-SC04,"Timmons, William R. IV",RepTimmons,12/1/2018,2018,,
WaT-MN01,"Walz, Timothy J.",RepTimWalz,3/1/2013,2013,,
TiS-CO03,"Tipton, Scott R.",RepTipton,1/1/2011,2011,,
AkW-MO02,"Akin, W. Todd",REPTODDAKlN,8/1/2012,2012,,
EmT-MN06,"Emmer, Tom",RepTomEmmer,,1900,,
GaT-VA05,"Garrett, Thomas A., Jr.",RepTomGarrett,1/1/2017,2017,,
GrT-GA14,"Graves, Tom",RepTomGraves,9/1/2010,2010,,
PrT-GA06,"Price, Tom",RepTomPrice,6/1/2007,2007,,
GoT-TX23,"Gonzales, Tony",RepTonyGonzales,,1900,,
KeT-MS01,"Kelly, Trent",RepTrentKelly,,1900,,
HoT-IN09,"Hollingsworth, Trey",RepTrey,12/1/2016,2016,,
CaT-LA02,"Carter, Troy",RepTroyCarter,,1900,,
NeT-TX22,"Nehls, Troy E.",RepTroyNehls,1/1/2021,2021,,
UnL-IL14,"Underwood, Lauren",RepUnderwood,,1900,,
DeV-FL10,"Demings, Val Butler",RepValDemings,11/1/2016,2016,,
VaD-WI03,"Van Orden, Derrick",RepVanOrden,,1900,,
TaV-TX03,"Taylor, Van",RepVanTaylor,12/1/2018,2018,,
VeM-TX33,"Veasey, Marc A.",RepVeasey,1/1/2013,2013,,
ViP-IN01,"Visclosky, Peter J.",RepVisclosky,9/1/2010,2010,,
WaT-MI05,"Walberg, Tim",RepWalberg,,1900,,
WaJ-IN02,"Walorski, Jackie",RepWalorski,1/1/2013,2013,,
JoW-NC03,"Jones, Walter B., Jr.",RepWalterJones,3/1/2009,2009,,
WaM-FL06,"Waltz, Michael",RepWaltzPress,,1900,,
WeD-FL11,"Webster, Daniel",RepWebster,,1900,,
HuW-TX38,"Hunt, Wesley",RepWesleyHunt,,1900,,
WeB-AR04,"Westerman, Bruce",RepWesterman,,1900,,
WeJ-VA10,"Wexton, Jennifer",RepWexton,,1900,,
NiW-NC13,"Nickel, Wiley",RepWileyNickel,,1900,,
WiB-NY22,"Williams, Brandon",RepWilliams,,1900,,
WiF-FL24,"Wilson, Frederica S.",RepWilson,1/1/2011,2011,,
KiY-CA40,"Kim, Young",RepYoungKim,,1900,,
LoZ-CA18,"Lofgren, Zoe",RepZoeLofgren,,1900,,
BoR-VA09,"Boucher, Rick",rickboucherdc,6/1/2018,2018,,
BiR-UT01,"Bishop, Rob",RobBishopUT,3/1/2016,2016,,
AdR-AL04,"Aderholt, Robert B.",Robert_Aderholt,9/1/2009,2009,,
SiR-CT02,"Simmons, Rob",RobSimmons,3/1/2009,2009,,
WiR-VA01,"Wittman, Robert J.",RobWittman,7/1/2008,2008,,
DaR-IL13,"Davis, Rodney",RodneyDavis,,1900,,
MaR-KS01,"Marshall, Roger",RogerMarshallMD,3/1/2013,2013,,
DeR-FL06,"DeSantis, Ron",RonDeSantisFL,2/1/2012,2012,,
PaR-TX14,"Paul, Ron",RonPaul,4/1/2011,2011,,
DeR-CT03,"DeLauro, Rosa L.",rosadelauro,5/1/2010,2010,,
BaR-MD06,"Bartlett, Roscoe G.",Roscoe_Bartlett,12/1/2011,2011,,
RoI-FL27,"Ros-Lehtinen, Ileana",RosLehtinen,4/1/2008,2008,,
BlR-MO07,"Blunt, Roy",RoyBlunt,2/1/2009,2009,,
JoS-TX03,"Johnson, Sam",SamsPressShop,2/1/2011,2011,,
BiS-GA02,"Bishop, Sanford D., Jr.",SanfordBishop,2/1/2011,2011,,
TaS-VA02,"Taylor, Scott",Scotttaylorva,5/1/2009,2009,,
DuS-WI07,"Duffy, Sean P.",SeanDuffyWI,1/1/2011,2011,,
BaT-WI02,"Baldwin, Tammy",SenatorBaldwin,1/1/2013,2013,,
CaB-MD03,"Cardin, Benjamin L.",SenatorCardin,1/1/2010,2010,,
KiM-IL10,"Kirk, Mark Steven",SenatorKirk,11/1/2010,2010,,
SiK-AZ09,"Sinema, Kyrsten",SenatorSinema,1/1/2013,2013,,
ScT-SC01,"Scott, Tim",SenatorTimScott,11/1/2010,2010,,
WiR-MS01,"Wicker, Roger F.",SenatorWicker,3/1/2011,2011,,
CaS-WV02,"Capito, Shelley Moore",SenCapito,9/1/2010,2010,,
GaC-CO04,"Gardner, Cory",SenCoryGardner,1/1/2011,2011,,
