UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
HiJ-AR02,"Hill, J. French",repfrenchhill,12/1/2014,2014,,
GaM-WI08,"Gallagher, Mike",RepGallagher,1/1/2017,2017,,
GaJ-CA08,"Garamendi, John",RepGaramendi,11/1/2009,2009,,
GrG-LA06,"Graves, Garret",RepGarretGraves,12/1/2014,2014,,
DaG-KY04,"Davis, Geoff",RepGeoffDavis,1/1/2011,2011,,
CiG-CA39,"Cisneros, Gilbert Ray, Jr.",RepGilCisneros,1/1/2019,2019,,
IvG-MD04,"Ivey, Glenn",RepGlennIvey,1/1/2023,2023,,
GoJ-ME02,"Golden, Jared F.",RepGolden,1/1/2019,2019,,
GoV-TX34,"Gonzalez, Vicente",RepGonzalez,1/1/2017,2017,,
GoB-VA06,"Goodlatte, Bob",RepGoodlatte,5/1/2009,2009,,
GoP-AZ09,"Gosar, Paul A.",RepGosar,1/1/2011,2011,,
MeG-NY06,"Meng, Grace",RepGraceMeng,12/1/2012,2012,,
LaG-OH01,"Landsman, Greg",RepGregLandsman,1/1/2023,2023,,
MuG-NC03,"Murphy, Gregory",RepGregMurphy,9/1/2019,2019,,
PeG-IN06,"Pence, Greg",RepGregPence,1/1/2019,2019,,
StG-AZ04,"Stanton, Greg",RepGregStanton,1/1/2019,2019,,
StW-FL17,"Steube, W. Gregory",RepGregSteube,1/1/2019,2019,,
GrG-WI06,"Grothman, Glenn",RepGrothman,1/1/2015,2015,,
BiG-FL12,"Bilirakis, Gus M.",RepGusBilirakis,3/1/2009,2009,,
GuB-KY02,"Guthrie, Brett",RepGuthrie,1/1/2013,2013,,
GuL-IL04,"Gutierrez, Luis V.",RepGutierrez,5/1/2009,2009,,
MoG-WI04,"Moore, Gwen",RepGwenMoore,1/1/2009,2009,,
HaJ-MN01,"Hagedorn, Jim",RepHagedorn,1/1/2019,2019,,
HaH-WY00,"Hageman, Harriet M.",RepHageman,10/1/2022,2022,,
StH-MI11,"Stevens, Haley M.",RepHaleyStevens,12/1/2018,2018,,
RoH-KY05,"Rogers, Harold",RepHalRogers,4/1/2012,2012,,
HaC-HI01,"Hanabusa, Colleen",RepHanabusa,1/1/2011,2011,,
JoH-GA04,"Johnson, Henry C. ""Hank,"" Jr.",RepHankJohnson,3/1/2009,2009,,
RoH-CA48,"Rouda, Harley",RepHarley,12/1/2018,2018,,
HaD-TN01,"Harshbarger, Diana",RepHarshbarger,1/1/2021,2021,,
HaV-MO04,"Hartzler, Vicky",RepHartzler,1/1/2011,2011,,
HeJ-TX05,"Hensarling, Jeb",RepHensarling,1/1/2009,2009,,
HoG-NC02,"Holding, George",RepHolding,1/1/2013,2013,,
HoS-NV04,"Horsford, Steven",RepHorsford,10/1/2011,2011,,
HoE-IN09,"Houchin, Erin",RepHouchin,12/1/2022,2022,,
HoC-PA06,"Houlahan, Chrissy",RepHoulahan,10/1/2018,2018,,
HuJ-CA02,"Huffman, Jared",RepHuffman,1/1/2013,2013,,
HuB-MI04,"Huizenga, Bill",RepHuizenga,1/1/2011,2011,,
BeJ-MI01,"Bergman, Jack",RepJackBergman,12/1/2016,2016,,
HaJ-CT05,"Hayes, Jahana",RepJahanaHayes,1/1/2019,2019,,
CoJ-KY01,"Comer, James",RepJamesComer,6/1/2020,2020,,
PoJ-CO02,"Polis, Jared",RepJaredPolis,1/1/2012,2012,,
CrJ-TX30,"Crockett, Jasmine",RepJasmine,1/1/2023,2023,,
CrJ-CO06,"Crow, Jason",RepJasonCrow,1/1/2019,2019,,
SmJ-MO08,"Smith, Jason",RepJasonSmith,7/1/2013,2013,,
JaP-WA07,"Jayapal, Pramila",RepJayapal,1/1/2017,2017,,
DuJ-SC03,"Duncan, Jeff",RepJeffDuncan,1/1/2011,2011,,
JaJ-NC14,"Jackson, Jeff",RepJeffJackson,1/1/2023,2023,,
GoJ-PR00,"Gonzalez-Colon, Jenniffer",RepJenniffer,1/1/2017,2017,,
CaJ-AL01,"Carl, Jerry L.",RepJerryCarl,12/1/2020,2020,,
LeJ-CA41,"Lewis, Jerry",RepJerryLewis,9/1/2009,2009,,
NaJ-NY12,"Nadler, Jerrold",RepJerryNadler,5/1/2009,2009,,
ToJ-HI02,"Tokuda, Jill N.",RepJillTokuda,1/1/2023,2023,,
BaJ-IN04,"Baird, James R.",RepJimBaird,1/1/2019,2019,,
BaJ-IN03,"Banks, Jim",RepJimBanks,1/1/2017,2017,,
CoJ-CA21,"Costa, Jim",RepJimCosta,1/1/2011,2011,,
MaJ-UT04,"Matheson, Jim",RepJimMatheson,6/1/2009,2009,,
McJ-WA07,"McDermott, Jim",RepJimMcDermott,4/1/2010,2010,,
GoJ-CA34,"Gomez, Jimmy",RepJimmyGomez,3/1/2014,2014,,
PaJ-CA19,"Panetta, Jimmy",RepJimmyPanetta,11/1/2016,2016,,
BaJ-TX06,"Barton, Joe",RepJoeBarton,2/1/2009,2009,,
CoJ-CT02,"Courtney, Joe",RepJoeCourtney,10/1/2009,2009,,
NeJ-CO02,"Neguse, Joe",RepJoeNeguse,12/1/2018,2018,,
WiJ-SC02,"Wilson, Joe",RepJoeWilson,2/1/2011,2011,,
CoJ-MI13,"Conyers, John, Jr.",RepJohnConyers,4/1/2010,2010,,
